SOC,OCV
0,2.037190818
0.02,2.062525976
0.04,2.084221002
0.06,2.099766121
0.08,2.113352493
0.1,2.12570112
0.12,2.13821905
0.14,2.150611252
0.16,2.162549298
0.18,2.175286177
0.2,2.189153418
0.22,2.203062835
0.24,2.218689021
0.26,2.235261576
0.28,2.251536864
0.3,2.268293075
0.32,2.282956025
0.34,2.29517275
0.36,2.305948633
0.38,2.31491411
0.4,2.322638327
0.42,2.328271386
0.44,2.332723579
0.46,2.336088957
0.48,2.338667872
0.5,2.340747743
0.52,2.342551607
0.54,2.344474133
0.56,2.347016054
0.58,2.350186207
0.6,2.353973312
0.62,2.358561214
0.64,2.363692853
0.66,2.369403789
0.68,2.375542724
0.7,2.38204021
0.72,2.388946228
0.74,2.39657975
0.76,2.404480243
0.78,2.412422981
0.8,2.421392212
0.82,2.430807002
0.84,2.440793335
0.86,2.451199755
0.88,2.462163406
0.9,2.474284178
0.92,2.487245868
0.94,2.502254731
0.96,2.525352725
0.98,2.577835875
1,2.71374938
