SOC,OCV
0,2.92735425
0.02,3.227628632
0.04,3.367289135
0.06,3.443748914
0.08,3.500277803
0.1,3.526209123
0.12,3.539831047
0.14,3.550252649
0.16,3.562446223
0.18,3.576083264
0.2,3.5896595
0.22,3.603243076
0.24,3.614679628
0.26,3.625239324
0.28,3.635878103
0.3,3.645788468
0.32,3.654468053
0.34,3.662846002
0.36,3.671270587
0.38,3.679691912
0.4,3.68771357
0.42,3.694842108
0.44,3.703296552
0.46,3.712128907
0.48,3.721426925
0.5,3.730769891
0.52,3.741010459
0.54,3.751293262
0.56,3.761625788
0.58,3.773659411
0.6,3.786446779
0.62,3.800072662
0.64,3.814224531
0.66,3.829602926
0.68,3.845988773
0.7,3.862995121
0.72,3.881145423
0.74,3.900121429
0.76,3.919562233
0.78,3.938770105
0.8,3.957779705
0.82,3.976611489
0.84,3.995522692
0.86,4.015059568
0.88,4.035166231
0.9,4.055981687
0.92,4.077556976
0.94,4.099515099
0.96,4.122603497
0.98,4.147341749
1,4.170228079
